address	type	comment
100175a0	PLATE	Library Function - Multiple Matches With Different Base Names\n void * __cdecl AdjustPointer(void *,struct PMD const &)\n ___AdjustPointer\n\nLibrary: Visual Studio
100175f0	PLATE	Library Function - Single Match\n __CallSettingFrame@12\n\nLibraries: Visual Studio 2017 Debug, Visual Studio 2017 Release, Visual Studio 2019 Debug, Visual Studio 2019 Release
10017a30	PLATE	Library Function - Single Match\n __trandisp1\n\nLibrary: Visual Studio
10017a97	PLATE	Library Function - Single Match\n __trandisp2\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2005, Visual Studio 2008
10017c45	PLATE	Library Function - Single Match\n __fload_withFB\n\nLibrary: Visual Studio
10017cab	PLATE	Library Function - Single Match\n __math_exit\n\nLibrary: Visual Studio
10017da7	PLATE	Library Function - Single Match\n __startOneArgErrorHandling\n\nLibrary: Visual Studio
10017df0	PLATE	Library Function - Single Match\n int (__cdecl*__cdecl _set_new_handler(int (__cdecl*)(unsigned int)))(unsigned int)\n\nLibrary: Visual Studio 2003 Debug
10017e30	PLATE	Library Function - Single Match\n __callnewh\n\nLibrary: Visual Studio 2003 Debug
10018100	PLATE	Library Function - Single Match\n __malloc_base\n\nLibrary: Visual Studio 2003 Debug
10018120	PLATE	Library Function - Single Match\n __nh_malloc_base\n\nLibrary: Visual Studio 2003 Debug
10018180	PLATE	Library Function - Single Match\n __heap_alloc_base\n\nLibrary: Visual Studio 2003 Debug
10018350	PLATE	Library Function - Single Match\n __CrtSetReportFile\n\nLibrary: Visual Studio 2003 Debug
10019290	PLATE	Library Function - Single Match\n __heapchk\n\nLibrary: Visual Studio 2003 Debug
100193a0	PLATE	Library Function - Single Match\n __heapset\n\nLibrary: Visual Studio 2003 Debug
100194f0	PLATE	Library Function - Single Match\n ___sbh_heap_init\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2005 Debug, Visual Studio 2008 Debug
1001d9c0	PLATE	Library Function - Single Match\n __ioterm\n\nLibrary: Visual Studio
1001e2f0	PLATE	Library Function - Single Match\n __FF_MSGBANNER\n\nLibrary: Visual Studio 2003 Debug
1001e500	PLATE	Library Function - Single Match\n __GET_RTERRMSG\n\nLibrary: Visual Studio 2003 Debug
1001e800	PLATE	Library Function - Single Match\n __cintrindisp2\n\nLibrary: Visual Studio
1001e83e	PLATE	Library Function - Single Match\n __cintrindisp1\n\nLibrary: Visual Studio
1001e87b	PLATE	Library Function - Single Match\n __ctrandisp2\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2005, Visual Studio 2008
1001e9fb	PLATE	Library Function - Single Match\n __ctrandisp1\n\nLibrary: Visual Studio
1001ea2e	PLATE	Library Function - Single Match\n __fload\n\nLibraries: Visual Studio 1998, Visual Studio 2003, Visual Studio 2005, Visual Studio 2008
1001ebe0	PLATE	Library Function - Single Match\n __controlfp\n\nLibrary: Visual Studio 2003 Debug
1001f260	PLATE	Library Function - Single Match\n __IncMan\n\nLibrary: Visual Studio
1001f3f0	PLATE	Library Function - Single Match\n __CopyMan\n\nLibrary: Visual Studio
1001f440	PLATE	Library Function - Single Match\n __FillZeroMan\n\nLibrary: Visual Studio
1001f470	PLATE	Library Function - Single Match\n __IsZeroMan\n\nLibrary: Visual Studio
1001f4b0	PLATE	Library Function - Single Match\n __ShrMan\n\nLibrary: Visual Studio
1001ffe0	PLATE	Library Function - Single Match\n __fptrap\n\nLibrary: Visual Studio 2003 Debug
1001fff0	PLATE	Library Function - Single Match\n __dosmaperr\n\nLibrary: Visual Studio 2003 Debug
100200b0	PLATE	Library Function - Single Match\n __XcptFilter\n\nLibrary: Visual Studio 2003 Debug
100202d0	PLATE	Library Function - Single Match\n __aulldiv\n\nLibrary: Visual Studio 2003 Debug
10020340	PLATE	Library Function - Single Match\n __aullrem\n\nLibrary: Visual Studio 2003 Debug
10020950	PLATE	Library Function - Single Match\n int __cdecl _ValidateExecute(int (__stdcall*)(void))\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2003 Release
10020980	PLATE	Library Function - Single Match\n _strcmp\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
10021020	PLATE	Library Function - Single Match\n _strchr\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
100210e0	PLATE	Library Function - Single Match\n _strstr\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
10021160	PLATE	Library Function - Single Match\n _strncmp\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
10021580	PLATE	Library Function - Single Match\n __isatty\n\nLibrary: Visual Studio 2003 Debug
10021a30	PLATE	Library Function - Single Match\n _getSystemCP\n\nLibrary: Visual Studio 2003 Debug
10021b10	PLATE	Library Function - Single Match\n _setSBCS\n\nLibrary: Visual Studio 2003 Debug
10022870	PLATE	Library Function - Single Match\n __strcats\n\nLibrary: Visual Studio 2003 Debug
10022a20	PLATE	Library Function - Single Match\n ___lc_lctostr\n\nLibrary: Visual Studio 2003 Debug
10022df0	PLATE	Library Function - Single Match\n ___addl\n\nLibrary: Visual Studio 2012 Debug
10022e30	PLATE	Library Function - Single Match\n ___add_12\n\nLibrary: Visual Studio
10022ee0	PLATE	Library Function - Single Match\n ___shl_12\n\nLibraries: Visual Studio 2003, Visual Studio 2005, Visual Studio 2008, Visual Studio 2010
10022f40	PLATE	Library Function - Single Match\n ___shr_12\n\nLibraries: Visual Studio 2003, Visual Studio 2005, Visual Studio 2008, Visual Studio 2010
10024380	PLATE	Library Function - Single Match\n __set_osfhnd\n\nLibrary: Visual Studio 2003 Debug
10024730	PLATE	Library Function - Single Match\n __unlock_fhandle\n\nLibrary: Visual Studio 2003 Debug
10025210	PLATE	Library Function - Single Match\n __umatherr\n\nLibrary: Visual Studio
100252b0	PLATE	Library Function - Multiple Matches With Different Base Names\n __set_errno\n __set_errno_from_matherr\n\nLibrary: Visual Studio
100252f0	PLATE	Library Function - Single Match\n __get_fname\n\nLibrary: Visual Studio
100253b0	PLATE	Library Function - Single Match\n __matherr\n\nLibrary: Visual Studio
10025720	PLATE	Library Function - Single Match\n __close_lk\n\nLibrary: Visual Studio 2003 Debug
100257d0	PLATE	Library Function - Single Match\n ___init_time\n\nLibrary: Visual Studio 2003 Debug
10025e40	PLATE	Library Function - Single Match\n ___free_lc_time\n\nLibrary: Visual Studio 2003 Debug
10026400	PLATE	Library Function - Single Match\n _fix_grouping\n\nLibrary: Visual Studio
