address	length	data_type	value
10046b36	13	TerminatedCString	IsBadReadPtr
10046b46	13	TerminatedCString	HeapValidate
10046b56	12	TerminatedCString	ExitProcess
10046b64	17	TerminatedCString	TerminateProcess
10046b78	18	TerminatedCString	GetCurrentProcess
10046b8c	16	TerminatedCString	GetCommandLineA
10046b9e	11	TerminatedCString	GetVersion
10046bac	21	TerminatedCString	EnterCriticalSection
10046bc4	21	TerminatedCString	LeaveCriticalSection
10046bdc	15	TerminatedCString	GetProcAddress
10046bee	17	TerminatedCString	GetModuleHandleA
10046c02	13	TerminatedCString	GetLastError
10046c12	22	TerminatedCString	SetConsoleCtrlHandler
10046c2a	13	TerminatedCString	LoadLibraryA
10046c3a	19	TerminatedCString	GetCurrentThreadId
10046c50	12	TerminatedCString	TlsSetValue
10046c5e	9	TerminatedCString	TlsAlloc
10046c6a	8	TerminatedCString	TlsFree
10046c74	13	TerminatedCString	SetLastError
10046c84	12	TerminatedCString	TlsGetValue
10046c92	17	TerminatedCString	GetCurrentThread
10046ca6	26	TerminatedCString	InitializeCriticalSection
10046cc2	22	TerminatedCString	DeleteCriticalSection
10046cda	14	TerminatedCString	FatalAppExitA
10046cea	10	TerminatedCString	HeapAlloc
10046cf6	11	TerminatedCString	DebugBreak
10046d04	13	TerminatedCString	GetStdHandle
10046d14	10	TerminatedCString	WriteFile
10046d20	21	TerminatedCString	InterlockedDecrement
10046d38	19	TerminatedCString	OutputDebugStringA
10046d4e	21	TerminatedCString	InterlockedIncrement
10046d66	12	TerminatedCString	HeapReAlloc
10046d74	9	TerminatedCString	HeapFree
10046d80	12	TerminatedCString	VirtualFree
10046d8e	13	TerminatedCString	VirtualAlloc
10046d9e	24	TerminatedCString	GetEnvironmentVariableA
10046db8	14	TerminatedCString	GetVersionExA
10046dc8	12	TerminatedCString	HeapDestroy
10046dd6	11	TerminatedCString	HeapCreate
10046de4	15	TerminatedCString	SetHandleCount
10046df6	12	TerminatedCString	GetFileType
10046e04	16	TerminatedCString	GetStartupInfoA
10046e16	24	TerminatedCString	FreeEnvironmentStringsA
10046e30	24	TerminatedCString	FreeEnvironmentStringsW
10046e4a	20	TerminatedCString	WideCharToMultiByte
10046e60	22	TerminatedCString	GetEnvironmentStrings
10046e78	23	TerminatedCString	GetEnvironmentStringsW
10046e92	25	TerminatedCString	UnhandledExceptionFilter
10046eae	17	TerminatedCString	FlushFileBuffers
10046ec2	28	TerminatedCString	SetUnhandledExceptionFilter
10046ee0	13	TerminatedCString	IsBadCodePtr
10046ef0	20	TerminatedCString	MultiByteToWideChar
10046f06	15	TerminatedCString	GetStringTypeA
10046f18	15	TerminatedCString	GetStringTypeW
10046f2a	15	TerminatedCString	SetFilePointer
10046f3c	10	TerminatedCString	GetCPInfo
10046f48	7	TerminatedCString	GetACP
10046f52	9	TerminatedCString	GetOEMCP
10046f5e	6	TerminatedCString	Sleep
10046f66	13	TerminatedCString	LCMapStringA
10046f76	13	TerminatedCString	LCMapStringW
10046f86	13	TerminatedCString	SetStdHandle
10046f96	15	TerminatedCString	RaiseException
10046fa8	12	TerminatedCString	CloseHandle
10046fb6	14	TerminatedCString	IsValidLocale
10046fc6	16	TerminatedCString	IsValidCodePage
10046fd8	15	TerminatedCString	GetLocaleInfoA
10046fea	19	TerminatedCString	EnumSystemLocalesA
10047000	19	TerminatedCString	GetUserDefaultLCID
10047016	23	TerminatedCString	GetTimeZoneInformation
10047030	15	TerminatedCString	GetLocaleInfoW
10047042	15	TerminatedCString	CompareStringA
10047054	15	TerminatedCString	CompareStringW
10047066	24	TerminatedCString	SetEnvironmentVariableA
ffdff1ac	36	uchar[36]	\N
ffdffc00	522	wchar16[261]	\N
