name	start	end	size	read	write	execute	initialized	loaded	overlay	type	source	comment
Headers	10000000	10000fff	4096	true	false	false	true	true	false	Default	\N	\N
.text	10001000	10035fff	217088	true	false	true	true	true	false	Default	\N	\N
.rdata	10036000	10038fff	12288	true	false	false	true	true	false	Default	\N	\N
.data	10039000	1004577f	51072	true	true	false	true	true	false	Default	\N	\N
.idata	10046000	10047fff	8192	true	true	false	true	true	false	Default	\N	\N
.reloc	10048000	1004afff	12288	true	false	false	true	true	false	Default	\N	\N
tdb	ffdff000	ffdfffff	4096	true	true	false	true	true	false	Default	\N	\N
