address	type	category	comment
1001e2a0	Analysis	Function ID Analyzer	Library Function - Single Match,  _free
1001e2f0	Analysis	Function ID Analyzer	Library Function - Single Match,  __close
1001e3c0	Analysis	Function ID Analyzer	Library Function - Single Match,  __freebuf
1001e400	Analysis	Function ID Analyzer	Library Function - Single Match,  __input
1001f0a0	Analysis	Function ID Analyzer	Library Function - Single Match,  __hextodec
1001f0e0	Analysis	Function ID Analyzer	Library Function - Single Match,  __inc
1001f110	Analysis	Function ID Analyzer	Library Function - Single Match,  __un_inc
1001f130	Analysis	Function ID Analyzer	Library Function - Single Match,  __whiteout
1001f160	Analysis	Function ID Analyzer	Library Function - Single Match,  __ioinit
1001f340	Analysis	Function ID Analyzer	Library Function - Single Match,  __ioterm
1001f370	Analysis	Function ID Analyzer	Library Function - Single Match,  __read
1001f5e0	Analysis	Function ID Analyzer	Library Function - Single Match,  __getbuf
1001f630	Analysis	Function ID Analyzer	Library Function - Single Match,  __openfile
1001f840	Analysis	Function ID Analyzer	Library Function - Single Match,  __getstream
1001fad0	Analysis	Function ID Analyzer	Library Function - Single Match,  __cintrindisp2
1001fb0e	Analysis	Function ID Analyzer	Library Function - Single Match,  __cintrindisp1
1001fb44	Analysis	Function ID Analyzer	Library Function - Single Match,  __ctrandisp2
1001fcb5	Analysis	Function ID Analyzer	Library Function - Single Match,  __ctrandisp1
1001fce1	Analysis	Function ID Analyzer	Library Function - Single Match,  __fload
1001fd20	Analysis	Function ID Analyzer	Library Function - Single Match,  __callnewh
1001fd50	Analysis	Function ID Analyzer	Library Function - Single Match,  __heap_init
1001fd90	Analysis	Function ID Analyzer	Library Function - Single Match,  __heap_term
1001fdd0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___sbh_new_region
1001ff40	Analysis	Function ID Analyzer	Library Function - Single Match,  ___sbh_release_region
1001ffa0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___sbh_decommit_pages
10020080	Analysis	Function ID Analyzer	Library Function - Single Match,  ___sbh_find_block
100200e0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___sbh_free_block
10020130	Analysis	Function ID Analyzer	Library Function - Single Match,  ___sbh_alloc_block
100203b0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___sbh_alloc_block_from_page
10020530	Analysis	Function ID Analyzer	Library Function - Single Match,  ___sbh_resize_block
10020600	Analysis	Function ID Analyzer	Library Function - Single Match,  __allmul
10020640	Analysis	Function ID Analyzer	Library Function - Single Match,  __mbsnbicoll
10020680	Analysis	Function ID Analyzer	Library Function - Single Match,  ___wtomb_environ
10020710	Analysis	Function ID Analyzer	Library Function - Single Match,  __flsbuf
10020860	Analysis	Function ID Analyzer	Library Function - Single Match,  __output
10021210	Analysis	Function ID Analyzer	Library Function - Single Match,  _write_char
10021260	Analysis	Function ID Analyzer	Library Function - Single Match,  _write_multi_char
100212a0	Analysis	Function ID Analyzer	Library Function - Single Match,  _write_string
100212e0	Analysis	Function ID Analyzer	Library Function - Single Match,  _get_int_arg
100212f0	Analysis	Function ID Analyzer	Library Function - Single Match,  _get_int64_arg
10021310	Analysis	Function ID Analyzer	Library Function - Single Match,  _get_short_arg
10021320	Analysis	Function ID Analyzer	Library Function - Single Match,  __stbuf
100213c0	Analysis	Function ID Analyzer	Library Function - Single Match,  __ftbuf
10021410	Analysis	Function ID Analyzer	Library Function - Single Match,  _fwrite
10021590	Analysis	Function ID Analyzer	Library Function - Single Match,  __setenvp
10021680	Analysis	Function ID Analyzer	Library Function - Single Match,  __setargv
10021720	Analysis	Function ID Analyzer	Library Function - Single Match,  _parse_cmdline
10021900	Analysis	Function ID Analyzer	Library Function - Single Match,  __setmbcp
10021ae0	Analysis	Function ID Analyzer	Library Function - Single Match,  _getSystemCP
10021b30	Analysis	Function ID Analyzer	Library Function - Single Match,  _CPtoLCID
10021b90	Analysis	Function ID Analyzer	Library Function - Single Match,  _setSBCS
10021bc0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___initmbctable
10021bd0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtGetEnvironmentStringsA
10021d70	Analysis	Function ID Analyzer	Library Function - Single Match,  _DllMain@12
10021da0	Analysis	Function ID Analyzer	Library Function - Single Match,  __FF_MSGBANNER
10021de0	Analysis	Function ID Analyzer	Library Function - Single Match,  __NMSG_WRITE
10021fe0	Analysis	Function ID Analyzer	Library Function - Single Match,  _calloc
10022080	Analysis	Function ID Analyzer	Library Function - Single Match,  __fcloseall
10022100	Analysis	Function ID Analyzer	Library Function - Single Match,  __commit
10022170	Analysis	Function ID Analyzer	Library Function - Single Match,  __write
100223a0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtLCMapStringW
100225b0	Analysis	Function ID Analyzer	Library Function - Single Match,  _wcsncnt
100225f0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtLCMapStringA
10022820	Analysis	Function ID Analyzer	Library Function - Single Match,  _strncnt
10022850	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtGetStringTypeW
10022a10	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtGetStringTypeA
10022b40	Analysis	Function ID Analyzer	Library Function - Single Match,  __fltin
10022bf0	Analysis	Function ID Analyzer	Library Function - Single Match,  __control87
10022c40	Analysis	Function ID Analyzer	Library Function - Single Match,  __controlfp
10022c60	Analysis	Function ID Analyzer	Library Function - Single Match,  __abstract_cw
10022d10	Analysis	Function ID Analyzer	Library Function - Single Match,  __hw_cw
10022da0	Analysis	Function ID Analyzer	Library Function - Single Match,  __fptrap
10022db0	Analysis	Function ID Analyzer	Library Function - Single Match,  __ZeroTail
10022e20	Analysis	Function ID Analyzer	Library Function - Single Match,  __IncMan
10022e90	Analysis	Function ID Analyzer	Library Function - Single Match,  __RoundMan
10022f40	Analysis	Function ID Analyzer	Library Function - Single Match,  __CopyMan
10022f60	Analysis	Function ID Analyzer	Library Function - Single Match,  __FillZeroMan
10022f70	Analysis	Function ID Analyzer	Library Function - Single Match,  __IsZeroMan
10022f90	Analysis	Function ID Analyzer	Library Function - Single Match,  __ShrMan
10023040	Analysis	Function ID Analyzer	Library Function - Single Match,  __ld12cvt
10023210	Analysis	Function ID Analyzer	Library Function - Single Match,  __ld12tod
10023230	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __ld12tod
10023250	Analysis	Function ID Conflict	Multiple likely matching functions
10023250	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __atodbl
10023290	Analysis	Function ID Conflict	Multiple likely matching functions
10023290	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __atodbl
100232d0	Analysis	Function ID Analyzer	Library Function - Single Match,  __fptostr
10023360	Analysis	Function ID Analyzer	Library Function - Single Match,  __fltout
100233d0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___dtold
10023490	Analysis	Function ID Conflict	Multiple likely matching functions
10023490	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  _memcpy
100235e0	Analysis	Function ID Analyzer	Library Function - Single Match,  __dosmaperr
10023650	Analysis	Function ID Analyzer	Library Function - Single Match,  __alloc_osfhnd
10023710	Analysis	Function ID Analyzer	Library Function - Single Match,  __set_osfhnd
100237c0	Analysis	Function ID Analyzer	Library Function - Single Match,  __free_osfhnd
10023850	Analysis	Function ID Analyzer	Library Function - Single Match,  __get_osfhandle
100238a0	Analysis	Function ID Analyzer	Library Function - Single Match,  _mbtowc
100239b0	Analysis	Function ID Analyzer	Library Function - Single Match,  _isspace
100239e0	Analysis	Function ID Conflict	Multiple likely matching functions
100239e0	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __ungetc_lk
10023a70	Analysis	Function ID Analyzer	Library Function - Single Match,  __lseek
10023b30	Analysis	Function ID Analyzer	Library Function - Single Match,  __sopen
10023f50	Analysis	Function ID Analyzer	Library Function - Single Match,  __trandisp1
10023fb7	Analysis	Function ID Analyzer	Library Function - Single Match,  __trandisp2
10025180	Analysis	Function ID Analyzer	Library Function - Single Match,  __87except
100252a0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtCompareStringW
100254e0	Analysis	Function ID Analyzer	Library Function - Single Match,  _wcsncnt
10025520	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtCompareStringA
10025810	Analysis	Function ID Analyzer	Library Function - Single Match,  _strncnt
10025840	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtsetenv
10025a90	Analysis	Function ID Analyzer	Library Function - Single Match,  _findenv
10025af0	Analysis	Function ID Analyzer	Library Function - Single Match,  _copy_environ
10025b70	Analysis	Function ID Analyzer	Library Function - Single Match,  __isatty
10025ba0	Analysis	Function ID Analyzer	Library Function - Single Match,  _wctomb
10025c40	Analysis	Function ID Analyzer	Library Function - Single Match,  __aulldiv
10025cb0	Analysis	Function ID Analyzer	Library Function - Single Match,  __aullrem
10025d50	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtMessageBoxA
10025df0	Analysis	Function ID Analyzer	Library Function - Single Match,  _strncpy
10025ef0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___strgtold12
10026640	Analysis	Function ID Analyzer	Library Function - Single Match,  ___addl
10026670	Analysis	Function ID Analyzer	Library Function - Single Match,  ___add_12
100266e0	Analysis	Function ID Analyzer	Library Function - Single Match,  ___shl_12
10026720	Analysis	Function ID Analyzer	Library Function - Single Match,  ___shr_12
10026760	Analysis	Function ID Analyzer	Library Function - Single Match,  ___mtold12
10026850	Analysis	Function ID Analyzer	Library Function - Single Match,  _$I10_OUTPUT
10026bf0	Analysis	Function ID Analyzer	Library Function - Single Match,  __chsize
10026d60	Analysis	Function ID Analyzer	Library Function - Single Match,  __set_exp
10026e10	Analysis	Function ID Analyzer	Library Function - Single Match,  __decomp
10026fd0	Analysis	Function ID Analyzer	Library Function - Single Match,  __raise_exc
10027340	Analysis	Function ID Analyzer	Library Function - Single Match,  __handle_exc
10027600	Analysis	Function ID Analyzer	Library Function - Single Match,  __set_errno
10027640	Analysis	Function ID Analyzer	Library Function - Single Match,  __statfp
10027660	Analysis	Function ID Analyzer	Library Function - Single Match,  __clrfp
10027680	Analysis	Function ID Analyzer	Library Function - Single Match,  __ctrlfp
10027720	Analysis	Function ID Analyzer	Library Function - Single Match,  _realloc
100278d0	Analysis	Function ID Analyzer	Library Function - Single Match,  __mbschr
10027960	Analysis	Function ID Analyzer	Library Function - Single Match,  __strdup
10027990	Analysis	Function ID Analyzer	Library Function - Single Match,  ___ld12mul
10027c40	Analysis	Function ID Analyzer	Library Function - Single Match,  ___multtenpow12
10027cc0	Analysis	Function ID Analyzer	Library Function - Single Match,  __setmode
10027d50	Analysis	Function ID Analyzer	Library Function - Single Match,  _strchr
10027e10	Analysis	Function ID Analyzer	Library Function - Single Match,  _strlen
10027e90	Analysis	Function ID Conflict	Multiple likely matching functions
10027e90	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __mbscpy
10027f80	Analysis	Function ID Analyzer	Library Function - Single Match,  __strupr
10028040	Analysis	Function ID Conflict	Multiple likely matching functions
10028040	Analysis	Function ID Analyzer	Library Function - Multiple Matches, Different  __putenv
10028130	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtwsetenv
10028370	Analysis	Function ID Analyzer	Library Function - Single Match,  _wfindenv
100283d0	Analysis	Function ID Analyzer	Library Function - Single Match,  _copy_environ
10028450	Analysis	Function ID Analyzer	Library Function - Single Match,  _wcscpy
10028480	Analysis	Function ID Analyzer	Library Function - Single Match,  ___mbtow_environ
10028510	Analysis	Function ID Analyzer	Library Function - Single Match,  _wcschr
10028540	Analysis	Function ID Analyzer	Library Function - Single Match,  __wcsnicoll
100285f0	Analysis	Function ID Analyzer	Library Function - Single Match,  __wcsdup
10028630	Analysis	Function ID Analyzer	Library Function - Single Match,  _wcstol
10028650	Analysis	Function ID Analyzer	Library Function - Single Match,  _wcstoxl
10028860	Analysis	Function ID Analyzer	Library Function - Single Match,  ___crtGetLocaleInfoW
10028990	Analysis	Function ID Analyzer	Library Function - Single Match,  __wcsnicmp
10028a30	Analysis	Function ID Analyzer	Library Function - Single Match,  _towupper
10028ad0	Analysis	Function ID Analyzer	Library Function - Single Match,  _iswctype
10028b50	Analysis	Function ID Analyzer	Library Function - Single Match,  _towlower
10001078	Analysis	Address Table	Address table[5] created
100016f8	Analysis	Address Table	Address table[4] created
10001df4	Analysis	Address Table	Address table[5] created
10002648	Analysis	Address Table	Address table[3] created
10002754	Analysis	Address Table	Address table[3] created
10002ad0	Analysis	Address Table	Address table[3] created
10002cb8	Analysis	Address Table	Address table[4] created
10002e10	Analysis	Address Table	Address table[3] created
10002e20	Analysis	Address Table	Address table[10] created
10004500	Analysis	Address Table	Address table[4] created
10005248	Analysis	Address Table	Address table[11] created
100055d8	Analysis	Address Table	Address table[7] created
100063f4	Analysis	Address Table	Address table[4] created
10007cb8	Analysis	Address Table	Address table[7] created
10008618	Analysis	Address Table	Address table[10] created
10008adc	Analysis	Address Table	Address table[4] created
1000a82c	Analysis	Address Table	Address table[10] created
1000a86c	Analysis	Address Table	Address table[10] created
1000b1a4	Analysis	Address Table	Address table[4] created
100109e8	Analysis	Address Table	Address table[3] created
10011490	Analysis	Address Table	Address table[19] created
10011508	Analysis	Address Table	Address table[9] created
10017234	Analysis	Address Table	Address table[9] created
1001c860	Analysis	Address Table	Address table[4] created
1001f058	Analysis	Address Table	Address table[3] created
1001f7cc	Analysis	Address Table	Address table[10] created
100210fc	Analysis	Address Table	Address table[4] created
10021118	Analysis	Address Table	Address table[5] created
10021144	Analysis	Address Table	Address table[4] created
1002118c	Analysis	Address Table	Address table[3] created
100211ac	Analysis	Address Table	Address table[4] created
10021b68	Analysis	Address Table	Address table[5] created
100234cc	Analysis	Address Table	Address table[3] created
10023564	Analysis	Address Table	Address table[3] created
10023f04	Analysis	Address Table	Address table[4] created
10025280	Analysis	Address Table	Address table[5] created
10026518	Analysis	Address Table	Address table[7] created
10026548	Analysis	Address Table	Address table[6] created
1002659c	Analysis	Address Table	Address table[5] created
100265ec	Analysis	Address Table	Address table[5] created
1002732c	Analysis	Address Table	Address table[4] created
100418a0	Analysis	Address Table	Address table[3] created
100418c0	Analysis	Address Table	Address table[3] created
10050b08	Analysis	Address Table	Address table[256] created
100525f0	Analysis	Address Table	Address table[4] created
10052608	Analysis	Address Table	Address table[6] created
10052620	Analysis	Address Table	Address table[6] created
1005590c	Analysis	Address Table	Address table[3] created
10055eb4	Analysis	Address Table	Address table[16] created
10055f04	Analysis	Address Table	Address table[4] created
10055f24	Analysis	Address Table	Address table[4] created
1001d280	Analysis	Non-Returning Function	Non-Returning Function Identified
1001d2a0	Analysis	Non-Returning Function	Non-Returning Function Identified
10024120	Analysis	Function ID Analyzer	Library Function - Single Match,  __powhlp
10024370	Analysis	Function ID Analyzer	Library Function - Single Match,  __d_inttype
10026da0	Analysis	Function ID Analyzer	Library Function - Single Match,  __sptype
10026f00	Analysis	Function ID Analyzer	Library Function - Single Match,  __frnd
10026f20	Analysis	Function ID Analyzer	Library Function - Single Match,  __fpclass
10055ec0	Analysis	Address Table	Address table[3] created
10055ed0	Analysis	Address Table	Address table[7] created
