address	length	data_type	value
1002a722	30	TerminatedCString	_grTexDownloadTablePartial@20
1002a740	20	TerminatedCString	_grTexFilterMode@12
1002a754	21	TerminatedCString	_grTexLodBiasValue@8
1002a769	19	TerminatedCString	_grTexMaxAddress@4
1002a77c	19	TerminatedCString	_grTexMinAddress@4
1002a78f	20	TerminatedCString	_grTexMipMapMode@12
1002a7a3	18	TerminatedCString	_grTexMultibase@8
1002a7b5	26	TerminatedCString	_grTexMultibaseAddress@20
1002a7cf	17	TerminatedCString	_grTexNCCTable@8
1002a7e0	16	TerminatedCString	_grTexSource@16
1002a7f0	27	TerminatedCString	_grTexTextureMemRequired@8
1002a80b	14	TerminatedCString	_grTriStats@8
1002a819	16	TerminatedCString	_gu3dfGetInfo@8
1002a829	13	TerminatedCString	_gu3dfLoad@8
1002a836	29	TerminatedCString	_guAADrawTriangleWithClip@12
1002a853	17	TerminatedCString	_guAlphaSource@4
1002a864	26	TerminatedCString	_guColorCombineFunction@4
1002a87e	35	TerminatedCString	_guDrawPolygonVertexListWithClip@8
1002a8a1	27	TerminatedCString	_guDrawTriangleWithClip@12
1002a8bc	18	TerminatedCString	_guEncodeRLE16@16
1002a8ce	21	TerminatedCString	_guEndianSwapBytes@4
1002a8e3	21	TerminatedCString	_guEndianSwapWords@4
1002a8f8	19	TerminatedCString	_guFbReadRegion@24
1002a90b	20	TerminatedCString	_guFbWriteRegion@24
1002a91f	21	TerminatedCString	_guFogGenerateExp2@8
1002a934	20	TerminatedCString	_guFogGenerateExp@8
1002a948	24	TerminatedCString	_guFogGenerateLinear@12
1002a960	22	TerminatedCString	_guFogTableIndexToW@4
1002a976	21	TerminatedCString	_guMPDrawTriangle@12
1002a98b	12	TerminatedCString	_guMPInit@0
1002a997	26	TerminatedCString	_guMPTexCombineFunction@4
1002a9b1	17	TerminatedCString	_guMPTexSource@8
1002a9c2	18	TerminatedCString	_guMovieSetName@4
1002a9d4	16	TerminatedCString	_guMovieStart@0
1002a9e4	15	TerminatedCString	_guMovieStop@0
1002a9f3	24	TerminatedCString	_guTexAllocateMemory@60
1002aa0b	26	TerminatedCString	_guTexChangeAttributes@48
1002aa25	24	TerminatedCString	_guTexCombineFunction@8
1002aa3d	26	TerminatedCString	_guTexCreateColorMipMap@0
1002aa57	24	TerminatedCString	_guTexDownloadMipMap@12
1002aa6f	29	TerminatedCString	_guTexDownloadMipMapLevel@12
1002aa8c	25	TerminatedCString	_guTexGetCurrentMipMap@4
1002aaa5	22	TerminatedCString	_guTexGetMipMapInfo@4
1002aabb	22	TerminatedCString	_guTexMemQueryAvail@4
1002aad1	17	TerminatedCString	_guTexMemReset@0
1002aae2	15	TerminatedCString	_guTexSource@4
1002aaf1	12	TerminatedCString	_pciClose@0
1002aafd	19	TerminatedCString	_pciDeviceExists@4
1002ab10	16	TerminatedCString	_pciFindCard@12
1002ab20	21	TerminatedCString	_pciFindCardMulti@16
1002ab35	21	TerminatedCString	_pciGetConfigData@20
1002ab4a	15	TerminatedCString	_pciMapCard@20
1002ab59	20	TerminatedCString	_pciMapCardMulti@24
1002ab6d	27	TerminatedCString	_pciMapPhysicalToLinear@12
1002ab88	11	TerminatedCString	_pciOpen@0
1002ab93	21	TerminatedCString	_pciSetConfigData@20
1002aba8	20	TerminatedCString	_pciUnmapPhysical@8
100483dc	7	string	RGB332
100483ec	7	string	RGB565
10048400	9	string	ARGB8332
10048418	9	string	ARGB1555
10048430	9	string	AYIQ8422
10048448	9	string	ARGB4444
1004847c	49	string	3df v%s %s lod range: %i %i aspect ratio: %i %i\n
100484b4	10	string	glide.dll
100484c0	7	string	FX_CPU
100484c8	7	string	FX_CPU
100484d0	22	string	FX_GLIDE_BOUNDS_CHECK
100484e8	19	string	FX_GLIDE_NO_SPLASH
100484fc	24	string	FX_GLIDE_SHAMELESS_PLUG
10048514	13	string	FX_GLIDE_LWM
10048524	13	string	FX_GLIDE_LWM
10048534	22	string	FX_GLIDE_SWAPINTERVAL
1004854c	22	string	FX_GLIDE_SWAPINTERVAL
10048564	23	string	FX_GLIDE_NO_DITHER_SUB
1004857c	12	string	FX_SNAPSHOT
10048588	12	string	FX_SNAPSHOT
10048594	8	string	FX_SST2
1004859c	8	string	FX_SST2
100485b0	57	string	GLIDE STATISTICS:                       fifo spins: %7d\n
100485ec	53	string	\s    triangles processed: %7d       tris drawn: %7d\n
10048624	58	string	\s           buffer swaps: %7d       tris/frame: %7d , %d\n
10048660	53	string	\s                 points: %7d       pnts/frame: %7d\n
10048698	53	string	\s                  lines: %7d      lines/frame: %7d\n
100486d0	53	string	\s      texture downloads: %7d    texture bytes: %7d\n
10048708	53	string	\s      palette downloads: %7d    palette bytes: %7d\n
10048740	31	string	grSstSelect:  non-existent SST
100489b0	58	string	grTexDownloadMipMap: mipmap  cannot span 2 Mbyte boundary
10050888	12	string	%s:  %s.\n
10050894	6	string	glide
1005089c	43	string	guMovieStart:  unsupported on SST hardware
100508c8	42	string	guMovieStop:  unsupported on SST hardware
100508f4	45	string	guMovieSetName:  unsupported on SST hardware
10050924	44	string	guTexCombineFunction:  Unsupported function
10050950	57	string	_gumpTexCombineFunction:  TEXTURE_SUBTRACT not supported
1005098c	47	string	_gumpTexCombineFunction:  Unsupported function
100509bc	33	string	guMPDrawTriangle:  Illegal state
100509e0	60	string	gumpDrawTriangle:  GR_MPTEXCOMBINE_SUBTRACT not implemented
10050a48	38	string	grTexMipMapMode:  invalid mode passed
10050a70	75	string	grTexDownloadMipMapLevelPartial: mipmap level cannot span 2 Mbyte boundary
10050abc	75	string	grTexDownloadMipMapLevelPartial: mipmap level cannot span 2 Mbyte boundary
10050f08	7	string	status
10050f10	12	string	reserved001
10050fd4	12	string	triangleCMD
10050fe0	12	string	reserved021
10051020	6	string	Fdrdx
10051028	6	string	Fdrdy
10051034	6	string	Fdgdx
1005103c	6	string	Fdgdy
10051048	6	string	Fdbdx
10051050	6	string	Fdbdy
1005105c	6	string	Fdzdx
10051064	6	string	Fdzdy
10051070	6	string	Fdadx
10051078	6	string	Fdady
10051084	6	string	Fdsdx
1005108c	6	string	Fdsdy
10051098	6	string	Fdtdx
100510a0	6	string	Fdtdy
100510ac	6	string	Fdwdx
100510b4	6	string	Fdwdy
100510bc	13	string	FtriangleCMD
100510cc	12	string	reserved041
100510d8	7	string	nopCMD
100510e0	12	string	reserved043
100510ec	12	string	fastfillCMD
100510f8	12	string	reserved045
10051104	14	string	swapbufferCMD
10051114	12	string	reserved047
10051120	12	string	swappendCMD
1005112c	12	string	reserved049
10051138	12	string	reserved04A
10051144	12	string	reserved04B
10051150	12	string	reserved04C
1005115c	12	string	reserved04D
10051168	12	string	reserved04E
10051174	12	string	reserved04F
10051180	13	string	fbzColorPath
10051190	8	string	fogMode
10051198	10	string	alphaMode
100511a4	12	string	reserved053
100511b0	8	string	fbzMode
100511b8	8	string	stipple
100511c0	7	string	color0
100511c8	7	string	color1
100511d0	9	string	fogColor
100511dc	8	string	zaColor
100511e4	10	string	chromaKey
100511f0	12	string	chromaRange
100511fc	12	string	reserved05C
10051208	12	string	reserved05D
10051214	12	string	reserved05E
10051220	12	string	reserved05F
1005122c	15	string	colBufferSetup
1005123c	15	string	auxBufferSetup
1005124c	15	string	clipLeftRight0
1005125c	15	string	clipTopBottom0
1005126c	15	string	clipLeftRight1
1005127c	15	string	clipTopBottom1
1005128c	12	string	reserved066
10051298	12	string	reserved067
100512a4	12	string	reserved068
100512b0	12	string	reserved069
100512bc	12	string	reserved06A
100512c8	12	string	reserved06B
100512d4	12	string	reserved06C
100512e0	12	string	reserved06D
100512ec	12	string	reserved06E
100512f8	12	string	reserved06F
10051304	13	string	fogTable0001
10051314	13	string	fogTable0203
10051324	13	string	fogTable0405
10051334	13	string	fogTable0607
10051344	13	string	fogTable0809
10051354	13	string	fogTable0A0B
10051364	13	string	fogTable0C0D
10051374	13	string	fogTable0E0F
10051384	13	string	fogTable1011
10051394	13	string	fogTable1213
100513a4	13	string	fogTable1415
100513b4	13	string	fogTable1617
100513c4	13	string	fogTable1819
100513d4	13	string	fogTable1A1B
100513e4	13	string	fogTable1C1D
100513f4	13	string	fogTable1E1F
10051404	13	string	fogTable2021
10051414	13	string	fogTable2223
10051424	13	string	fogTable2425
10051434	13	string	fogTable2627
10051444	13	string	fogTable2829
10051454	13	string	fogTable2A2B
10051464	13	string	fogTable2C2D
10051474	13	string	fogTable2E2F
10051484	13	string	fogTable3031
10051494	13	string	fogTable3233
100514a4	13	string	fogTable3435
100514b4	13	string	fogTable3637
100514c4	13	string	fogTable3839
100514d4	13	string	fogTable3A3B
100514e4	13	string	fogTable3C3D
100514f4	13	string	fogTable3E3F
10051504	11	string	fbijrInit0
10051510	11	string	fbijrInit1
1005151c	11	string	fbijrInit2
10051528	11	string	fbijrInit3
10051534	11	string	fbijrInit4
10051540	11	string	fbijrInit5
1005154c	12	string	reserved096
10051558	12	string	reserved097
10051564	12	string	reserved098
10051570	12	string	reserved099
1005157c	12	string	reserved09A
10051588	12	string	reserved09B
10051594	12	string	reserved09C
100515a0	12	string	reserved09D
100515ac	12	string	reserved09E
100515b8	12	string	reserved09F
100515c4	13	string	fbijrVersion
100515d4	12	string	fbiPixelsIn
100515e0	14	string	fbiChromaFail
100515f0	13	string	fbiZfuncFail
10051600	13	string	fbiAfuncFail
10051610	13	string	fbiPixelsOut
10051620	12	string	reserved0A6
1005162c	12	string	reserved0A7
10051638	12	string	reserved0A8
10051644	12	string	reserved0A9
10051650	12	string	reserved0AA
1005165c	12	string	reserved0AB
10051668	12	string	reserved0AC
10051674	12	string	reserved0AD
10051680	12	string	reserved0AE
1005168c	12	string	reserved0AF
10051698	12	string	reserved0B0
100516a4	12	string	reserved0B1
100516b0	12	string	reserved0B2
100516bc	12	string	reserved0B3
100516c8	12	string	reserved0B4
100516d4	12	string	reserved0B5
100516e0	12	string	reserved0B6
100516ec	12	string	reserved0B7
100516f8	12	string	reserved0B8
10051704	12	string	reserved0B9
10051710	12	string	reserved0BA
1005171c	12	string	reserved0BB
10051728	12	string	reserved0BC
10051734	12	string	reserved0BD
10051740	12	string	reserved0BE
1005174c	11	string	texChipSel
10051758	12	string	textureMode
1005176c	8	string	tDetail
10051774	12	string	texBaseAddr
10051780	13	string	texBaseAddr1
10051790	13	string	texBaseAddr2
100517a0	14	string	texBaseAddr38
100517b0	10	string	trexInit0
100517bc	10	string	trexInit1
100517c8	12	string	nccTable0_0
100517d4	12	string	nccTable0_1
100517e0	12	string	nccTable0_2
100517ec	12	string	nccTable0_3
100517f8	12	string	nccTable0_4
10051804	12	string	nccTable0_5
10051810	12	string	nccTable0_6
1005181c	12	string	nccTable0_7
10051828	12	string	nccTable0_8
10051834	12	string	nccTable0_9
10051840	12	string	nccTable0_A
1005184c	12	string	nccTable0_B
10051858	12	string	nccTable1_0
10051864	12	string	nccTable1_1
10051870	12	string	nccTable1_2
1005187c	12	string	nccTable1_3
10051888	12	string	nccTable1_4
10051894	12	string	nccTable1_5
100518a0	12	string	nccTable1_6
100518ac	12	string	nccTable1_7
100518b8	12	string	nccTable1_8
100518c4	12	string	nccTable1_9
100518d0	12	string	nccTable1_A
100518dc	12	string	nccTable1_B
100518e8	12	string	reserved0E1
100518f4	12	string	reserved0E2
10051900	12	string	reserved0E3
1005190c	12	string	reserved0E4
10051918	12	string	reserved0E5
10051924	12	string	reserved0E6
10051930	12	string	reserved0E7
1005193c	12	string	reserved0E8
10051948	12	string	reserved0E9
10051954	12	string	reserved0EA
10051960	12	string	reserved0EB
1005196c	12	string	reserved0EC
10051978	12	string	reserved0ED
10051984	12	string	reserved0EE
10051990	12	string	reserved0EF
1005199c	12	string	reserved0F0
100519a8	12	string	reserved0F1
100519b4	12	string	reserved0F2
100519c0	12	string	reserved0F3
100519cc	12	string	reserved0F4
100519d8	12	string	reserved0F5
100519e4	12	string	reserved0F6
100519f0	12	string	reserved0F7
100519fc	12	string	reserved0F8
10051a08	12	string	reserved0F9
10051a14	12	string	reserved0FA
10051a20	12	string	reserved0FB
10051a2c	12	string	reserved0FC
10051a38	12	string	reserved0FD
10051a44	12	string	reserved0FE
10051a50	12	string	reserved0FF
10051a80	10	string	GDBG_FILE
10051a8c	11	string	GDBG_LEVEL
10051a9c	31	string	gdbg_init(): debug level = %s\n
10051ad4	20	string	gdbg_shutdown()\n
10051ae8	8	string	%s.%d:\t
10051af0	16	string	%s error (%s):\s
10051b10	32	string	@#%InitHeaders $Revision: 10 $
10051b50	28	string	@#%InitCode $Revision: 5 $
10051b70	20	string	sst1Init Routines
10051b84	24	string	InitCode $Revision: 5 $
10051ba8	44	string	sst1InitMapBoard(): BoardsInSystem = %d\n
10051bd4	76	string	sst1InitMapBoard(): Scanline Interleave detected at startup for board=%d\n
10051c20	48	string	\s                   System reboot required...\n
10051c50	64	string	sst1InitMapBoard(): vAddr:0x%x pAddr:0x%x Dev:0x%x Board:%d\n
10051c90	16	string	SST_VGA_PASS
10051ca0	16	string	SST_VGA_PASS
10051cb0	44	string	sst1InitMapBoard(): Using SST_VGA_PASS=%d\n
10051cdc	16	string	SST_VGA_PASS
10051cec	26	string	SST_IGNORE_INIT_REGISTERS
10051d08	42	string	WARNING: Ignoring sst1InitRegisters()...\n
10051d34	19	string	SST_TF_FIFO_THRESH
10051d4c	19	string	SST_TF_FIFO_THRESH
10051d60	68	string	sst1InitRegisters(): Setting TREX-to-FBI FIFO THRESHOLD to 0x%x...\n
10051da4	16	string	SST_PFT_CLK_DEL
10051db8	16	string	SST_PFT_CLK_DEL
10051dc8	61	string	sst1InitRegisters(): Setting PRELIM FT-CLK delay to 0x%x...\n
10051e08	46	string	sst1InitRegisters(): Could not detect DAC...\n
10051e38	15	string	SST_TREX0INIT0
