address	length	data_type	value
0053dd5c	48	string	Sampling factors too large for interleaved scan
0053dd8c	61	string	Wrong JPEG library version: library is %d, caller expects %d
0053ddcc	20	string	Bogus marker length
0053dde0	22	string	Bogus JPEG colorspace
0053ddf8	23	string	Bogus input colorspace
0053de10	31	string	Bogus Huffman table definition
0053de30	40	string	IDCT output block size %d not supported
0053de58	29	string	DCT coefficient out of range
0053de78	31	string	Invalid component ID %d in SOS
0053de98	26	string	Bogus buffer control mode
0053deb4	37	string	MAX_ALLOC_CHUNK is wrong, please fix
0053dedc	32	string	ALIGN_TYPE is wrong, please fix
0053defc	57	string	Sorry, there are legal restrictions on arithmetic coding
0053df38	22	string	Bogus message code %d
0053e154	6	string	%ld%c
0053e15c	8	string	JPEGMEM
0053e38f	45	string	?Do not own input buffer: truncating input
0053e3bc	48	string	Could not resize input buffer: truncating input
0053e3ec	41	string	Packet is larger than allocated buffer:\s
0053e418	37	string	Do not own input buffer: not packing
0053e440	43	string	Could not resize input buffer: not packing
0053e46c	30	string	Buffer too small to pack bits
0053e48c	32	string	Unknown nb_mode_query request:\s
0053e4ac	32	string	Unknown wb_mode_query request:\s
0053eb6c	31	string	ultra-wideband (sub-band CELP)
0053eb8c	25	string	wideband (sub-band CELP)
0053eba8	11	string	narrowband
0053ece3	41	string	BUnknown speex_preprocess_ctl request:\s
0053ed0f	21	string	GFatal error: %s\n
0053ed24	13	string	warning: %s\n
0053ed34	16	string	warning: %s %d\n
0053f2e5	47	string	p}?Invalid mode encountered: corrupted stream?
0053f314	25	string	Unknown nb_ctl request:\s
0053f907	21	string	?No fixed codebook
0053f91c	34	string	No pitch prediction, what's wrong
0053f978	55	string	More than two wideband layers found: corrupted stream?
0053f9b0	53	string	Invalid wideband mode encountered: corrupted stream?
0053f9e8	53	string	Invalid wideband mode encountered. Corrupted stream?
005416b4	15	string	use_damper %d\n
005416c4	12	string	abs_out %f\n
005416d0	14	string	mul_prime %f\n
005416e0	18	string	abs_max_prime %f\n
005416f4	14	string	mul_error %f\n
00541704	18	string	abs_max_error %f\n
00541718	38	string	Could not find feedback table files!\n
00541740	15	string	abs_out %.20f\n
00541750	18	string	mul_prime %.20f\n\n
00541764	21	string	abs_max_prime %.20f\n
0054177c	17	string	mul_error %.20f\n
00541790	21	string	abs_max_error %.20f\n
005417b0	6	string	.atbl
005417b8	12	string	data/tables
005417c4	15	string	../data/tables
005417d4	8	string	default
005417dc	14	string	NOT_CATALOGED
005417ec	9	string	TANK_RAM
005417f8	15	string	TANK_SCRAPE_14
00541808	15	string	TANK_SCRAPE_13
00541818	15	string	TANK_SCRAPE_12
00541828	15	string	TANK_SCRAPE_11
00541838	15	string	TANK_SCRAPE_10
00541848	14	string	TANK_SCRAPE_9
00541858	14	string	TANK_SCRAPE_8
00541868	14	string	TANK_SCRAPE_7
00541878	14	string	TANK_SCRAPE_6
00541888	14	string	TANK_SCRAPE_5
00541898	14	string	TANK_SCRAPE_4
005418a8	14	string	TANK_SCRAPE_3
005418b8	14	string	TANK_SCRAPE_2
005418c8	14	string	TANK_SCRAPE_1
005418d8	12	string	TANK_SCRAPE
005418e4	12	string	TANK_BUMP_4
005418f0	12	string	TANK_BUMP_2
005418fc	12	string	TANK_BUMP_1
00541908	12	string	TANK_BANG_2
00541914	12	string	TANK_BANG_1
00541920	10	string	TANK_JUMP
0054192c	15	string	TANK_POWERDOWN
0054193c	13	string	TANK_TAKEOFF
0054194c	15	string	TANK_TOUCHDOWN
0054195c	18	string	UPLINK_DEACTIVATE
00541970	16	string	UPLINK_ACTIVATE
00541980	13	string	MISSILE_DOWN
00541990	11	string	MISSILE_UP
0054199c	13	string	CARGO_PICKUP
005419ac	11	string	CARGO_DROP
005419b8	6	string	%s_%s
005419d0	6	string	.misc
005419d8	14	string	zero_push %f\n
005419e8	19	string	degen_on_slope %d\n
005419fc	16	string	slope_react %f\n
00541a0c	15	string	base_react %f\n
00541a1c	20	string	roll_strafe_fac %f\n
00541a30	18	string	roll_turn_fac %f\n
00541a44	13	string	roll_max %f\n
00541a54	13	string	tilt_max %f\n
00541a64	17	string	roll_err_mag %f\n
00541a78	17	string	tilt_err_mag %f\n
00541a8c	18	string	jet_abate_max %f\n
00541aa0	17	string	max_xy_speed %f\n
00541ab4	20	string	zero_push       %f\n
00541ac8	20	string	degen_on_slope  %d\n
00541adc	20	string	slope_react     %f\n
00541af0	20	string	base_react      %f\n
00541b04	20	string	roll_turn_fac   %f\n
00541b18	20	string	roll_max        %f\n
00541b2c	20	string	tilt_max        %f\n
00541b40	20	string	roll_err_mag    %f\n
00541b54	20	string	tilt_err_mag    %f\n
00541b68	20	string	jet_abate_max   %f\n
00541b7c	20	string	max_xy_speed    %f\n
00541b90	9	string	jet_misc
00541b9c	11	string	speed_roll
00541ba8	10	string	jet_abate
00541bb4	20	string	jet_height_consider
00541bc8	11	string	jet_height
00541bd4	10	string	jet_speed
00541be0	15	string	jet_slow_react
00541bf0	15	string	jet_fast_react
00541c00	6	string	medic
00541c18	7	string	%.20f\n
00541c20	8	string	\n%s %d\n
00541c28	6	string	%s %d
00541c30	23	string	[%%.%df,%%.%df,%%.%df]
00541c4f	13	string	>contrail
00541c60	10	string	cargo_pos
00541c6c	12	string	missile_dir
00541c78	12	string	missile_pos
00541c9f	13	string	?Gun Turret
00541ce6	18	string	r@25mm Dual Gun
00541d06	14	string	I@Machine Gun
00541d27	77	string	?%s:%d:  entity_info not yet initialized (wrong sequence of initialization)\n
00541d74	28	string	..\\shared\\weapon_system.cpp
00541d90	6	string	Maser
