library	path
ADVAPI32.DLL	\N
DBGHELP.DLL	\N
DDRAW.DLL	\N
DINPUT.DLL	\N
FMOD.DLL	\N
GDI32.DLL	\N
IPHLPAPI.DLL	\N
KERNEL32.DLL	\N
USER32.DLL	\N
WINMM.DLL	\N
WSOCK32.DLL	\N
