library	path
ADVAPI32.DLL	\N
COMDLG32.DLL	\N
GDI32.DLL	\N
KERNEL32.DLL	\N
OLE32.DLL	\N
OLEAUT32.DLL	\N
SHELL32.DLL	\N
USER32.DLL	\N
WININET.DLL	\N
WINMM.DLL	\N
WSOCK32.DLL	\N
