epoch_s,x,y,z,vx,vy,vz,yaw
1781573357.433949,5169.332031,5172.425293,8.317565,13.239796,-24.504023,-0.017005,5.243122
1781573357.534237,5170.691406,5169.923340,8.315220,13.398202,-24.490246,-0.027849,5.244836
1781573357.633944,5172.011230,5167.522461,8.312565,13.534676,-24.476707,-0.024207,5.246160
1781573357.734028,5173.357422,5165.104980,8.310634,13.657920,-24.463097,-0.014576,5.247258
1781573357.834164,5174.769043,5162.590332,8.309549,13.771722,-24.449316,-0.008717,5.248106
1781573357.933865,5176.137207,5160.173340,8.308508,13.868422,-24.436651,-0.011799,5.248763
1781573358.034043,5177.514160,5157.756348,8.307612,13.953759,-24.424725,-0.006418,5.249269
1781573358.134212,5178.941406,5155.266113,8.306872,14.030988,-24.413298,-0.009430,5.249762
1781573358.234065,5180.319336,5152.873535,8.305615,14.107184,-24.396500,-0.016418,5.259074
1781573358.334221,5181.735840,5150.433105,8.303632,14.226177,-24.349894,-0.022963,5.278656
1781573358.434147,5183.166504,5148.004395,8.301110,14.391320,-24.269968,-0.026944,5.295753
1781573358.534375,5184.629883,5145.556641,8.298313,14.588732,-24.164915,-0.027949,5.312604
1781573358.633945,5186.100098,5143.147461,8.295576,14.824059,-24.029213,-0.026501,5.337478
1781573358.734213,5187.596191,5140.753906,8.293065,15.119497,-23.845058,-0.023565,5.370786
1781573358.834117,5189.140625,5138.357910,8.290861,15.493940,-23.593594,-0.020016,5.412227
1781573358.933941,5190.696289,5136.038086,8.289047,15.941350,-23.270470,-0.016923,5.457237
1781573359.034061,5192.332031,5133.707520,8.287373,16.460993,-22.870062,-0.016548,5.498389
1781573359.133848,5194.004883,5131.443359,8.285673,17.016914,-22.415512,-0.017524,5.538810
1781573359.233944,5195.719238,5129.248047,8.283888,17.597382,-21.912378,-0.018464,5.578244
1781573359.334312,5197.508789,5127.084473,8.282022,18.197289,-21.363361,-0.018760,5.612139
1781573359.434343,5199.358398,5124.976562,8.280188,18.789112,-20.795973,-0.017715,5.639868
1781573359.533926,5201.265137,5122.924805,8.278519,19.358017,-20.228352,-0.015574,5.662553
1781573359.633860,5203.207520,5120.948730,8.277070,19.889673,-19.679314,-0.013873,5.680945
1781573359.734382,5205.262207,5118.968750,8.277141,20.399342,-19.136778,0.038197,5.696436
1781573359.833944,5207.306152,5117.100098,8.289899,21.055330,-18.320770,0.319312,5.708702
1781573359.934217,5209.520508,5115.427734,8.367654,23.166611,-15.176213,1.288486,5.718783
1781573360.034040,5211.954102,5114.038086,8.559791,24.980286,-12.398037,2.543042,5.726966
1781573360.134189,5214.503906,5112.930176,8.871042,26.503239,-10.018797,3.690673,5.733467
1781573360.233986,5217.222168,5112.035645,9.280909,27.815809,-7.914383,4.431326,5.742098
1781573360.333823,5220.030762,5111.344727,9.739319,28.920633,-6.056939,4.775533,5.761487
1781573360.434089,5223.030762,5110.818848,10.233253,29.872488,-4.265095,4.882657,5.798357
1781573360.534144,5226.056641,5110.479004,10.722874,30.627155,-2.539142,4.909102,5.845448
1781573360.634238,5229.150391,5110.311523,11.216311,31.217331,-0.831459,4.969306,5.886215
1781573360.733858,5232.295410,5110.311035,11.718626,31.668200,0.819550,5.084326,5.919431
1781573360.834085,5235.480469,5110.472168,12.234042,32.003685,2.386809,5.224906,5.946479
1781573360.934468,5238.726074,5110.790527,12.768443,32.247368,3.868094,5.352251,5.968695
1781573361.034157,5241.926758,5111.242676,13.302938,32.411755,5.212239,5.438977,5.986409
1781573361.134249,5245.141602,5111.820801,13.844270,32.517948,6.446767,5.491849,6.000847
1781573361.234172,5248.423828,5112.530273,14.401664,32.530449,7.591009,5.635114,6.012825
1781573361.334200,5251.685059,5113.348633,15.044091,31.989372,8.602404,7.274496,6.022437
1781573361.433817,5254.647949,5114.234863,15.974328,21.076054,11.037438,19.991505,6.029918
1781573361.534132,5256.715820,5115.354980,17.761887,20.721571,11.603241,16.400496,6.038867
1781573361.633971,5258.752441,5116.530273,19.280277,20.388443,12.120761,14.549454,6.045697
1781573361.734176,5260.792969,5117.776855,20.711863,20.040131,12.538800,13.953859,6.050910
1781573361.834305,5262.800293,5119.062012,22.119785,19.702717,12.892759,13.979133,6.054666
1781573361.934083,5264.736816,5120.354492,23.511751,19.393778,13.207239,14.141164,6.057172
1781573362.033835,5266.639648,5121.673340,24.918743,19.069445,13.417786,14.282924,6.058708
1781573362.133792,5268.531250,5123.022949,26.354166,18.749802,13.581861,14.417025,6.059445
1781573362.234037,5270.429199,5124.416992,27.828365,18.446335,13.735717,14.470954,6.059492
1781573362.333762,5272.223633,5125.770996,29.244711,18.173290,13.870060,14.419044,6.058998
1781573362.433909,5274.044922,5127.177734,30.695133,17.908520,13.994601,14.294130,6.058060
1781573362.534128,5275.841309,5128.597656,32.130962,17.658831,14.105376,14.137658,6.056806
1781573362.634332,5277.595215,5130.013672,33.536842,17.425224,14.202139,13.982426,6.055355
1781573362.734064,5279.323242,5131.431641,34.929688,17.128454,14.248946,13.906337,6.053773
1781573362.834125,5281.016602,5132.850586,36.324196,16.704607,14.212466,14.010049,6.052081
1781573362.933795,5282.661133,5134.266602,37.735485,16.173084,14.101026,14.219652,6.050265
1781573363.034024,5284.234375,5135.655273,39.152470,15.630570,13.965787,14.385946,6.048337
1781573363.134204,5285.772461,5137.046387,40.592991,15.143336,13.848704,14.396295,6.046290
1781573363.234316,5287.279297,5138.440430,42.041317,14.704842,13.747134,14.268699,6.044176
1781573363.333961,5288.716309,5139.793945,43.445045,14.320555,13.661220,14.081392,6.042112
1781573363.433914,5290.144043,5141.174805,44.856560,13.969182,13.585279,13.869284,6.040061
1781573363.534024,5291.510742,5142.515137,46.219074,13.659953,13.520539,13.656026,6.038131
1781573363.634184,5292.923828,5143.881836,47.579178,14.481738,13.602792,13.207392,6.036301
1781573363.734265,5294.419434,5145.249023,48.870342,15.399631,13.708123,12.620322,6.034829
1781573363.834143,5295.994141,5146.610840,50.075783,16.538090,13.884350,11.562949,6.033999
1781573363.934307,5297.715332,5147.888184,51.141888,17.508528,11.233705,9.629031,6.034174
1781573364.033878,5299.489746,5148.875000,52.027088,18.306118,8.773504,8.302471,6.035326
1781573364.134041,5301.375977,5149.649414,52.799904,19.017637,6.615862,6.972624,6.037231
1781573364.234196,5303.289062,5150.213379,53.427486,19.633305,4.799150,5.767567,6.039606
1781573364.334218,5305.279785,5150.612305,53.964558,20.187527,3.222671,5.076711,6.042350
1781573364.433852,5307.343750,5150.866699,54.466076,20.689816,1.858040,4.928058,6.045348
1781573364.533854,5309.414062,5150.992188,54.959179,21.135086,0.711523,5.048131,6.048414
1781573364.634026,5311.549316,5151.012207,55.469719,21.544399,-0.280247,5.148177,6.051576
1781573364.734215,5313.722656,5150.940918,55.985668,21.918816,-1.128163,5.156091,6.054752
1781573364.834242,5315.931641,5150.791992,56.498703,22.262877,-1.852102,5.097080,6.057896
1781573364.934187,5318.171875,5150.573730,57.004028,22.580172,-2.469253,5.006719,6.060970
1781573365.033849,5320.468750,5150.296875,57.504848,22.876398,-2.999311,4.911942,6.063984
1781573365.134148,5322.747070,5149.976562,57.987488,23.139709,-3.440684,4.845009,6.066849
1781573365.234353,5325.073242,5149.613281,58.470425,23.381020,-3.818801,4.820676,6.069656
1781573365.333960,5327.421875,5149.214355,58.956356,23.591862,-4.138047,4.927830,6.072385
1781573365.434023,5329.766113,5148.790527,59.457069,23.780479,-4.403893,5.226579,6.075028
1781573365.534229,5332.178711,5148.333496,60.005810,23.960333,-4.631144,5.639004,6.077667
1781573365.634055,5334.607422,5147.856445,60.592316,24.130684,-4.820343,5.944233,6.080222
1781573365.734317,5337.057617,5147.363281,61.189396,24.401426,-4.925457,5.653823,6.082685
1781573365.833910,5339.462891,5146.882812,61.655968,24.688856,-4.989528,3.551838,6.085370
1781573365.934244,5341.976562,5146.369141,61.830067,25.085901,-5.105516,-0.196024,6.088925
1781573366.034104,5344.492676,5145.855957,61.636089,24.506182,-5.000912,-3.811503,6.092895
1781573366.134135,5346.747070,5145.395996,61.080799,21.118200,-4.309536,-7.069914,6.096987
1781573366.234245,5348.708496,5144.996094,60.308601,18.171885,-3.708289,-8.007184,6.101128
1781573366.333938,5350.395508,5144.652344,59.526627,15.636837,-3.190969,-7.508744,6.105273
1781573366.434153,5351.860840,5144.352539,58.809696,13.435195,-2.741685,-6.679550,6.109454
1781573366.534191,5353.108398,5144.097656,58.187435,11.560934,-2.359210,-5.714109,6.113545
1781573366.634270,5354.181152,5143.877930,57.680092,9.948203,-2.030105,-4.361780,6.117570
1781573366.733970,5355.096191,5143.692383,57.323219,8.573292,-1.749530,-2.875812,6.121451
1781573366.834172,5355.892578,5143.530762,57.094944,7.377287,-1.505464,-1.787820,6.125203
1781573366.934246,5356.577148,5143.391602,56.944672,6.347897,-1.295399,-1.314011,6.128730
1781573367.033783,5357.167480,5143.269043,56.817852,5.462306,-1.114678,-1.265579,6.131993
1781573367.133860,5357.674316,5143.168457,56.688351,4.700325,-0.959183,-1.320271,6.134975
1781573367.234051,5358.115234,5143.076172,56.555428,4.038579,-0.824143,-1.291574,6.137701
1781573367.334116,5358.486328,5143.003418,56.433945,3.480442,-0.710245,-1.146545,6.140098
1781573367.434140,5358.815918,5142.929688,56.327377,2.985963,-0.609338,-0.941217,6.142296
1781573367.533986,5359.091797,5142.880859,56.243530,2.573317,-0.525130,-0.759660,6.144183
1781573367.633943,5359.327148,5142.832520,56.175385,2.217691,-0.452558,-0.625068,6.145849
1781573367.733913,5359.533691,5142.786621,56.117966,1.908271,-0.389416,-0.528417,6.147329
1781573367.833776,5359.711426,5142.753418,56.068836,1.642038,-0.335086,-0.456492,6.148628
1781573367.934174,5359.862793,5142.727051,56.026268,1.412977,-0.288342,-0.396149,6.149765
1781573368.034137,5359.995605,5142.701172,55.988808,1.214051,-0.247748,-0.351172,6.150771
1781573368.133899,5360.108887,5142.676270,55.952682,1.044705,-0.213190,-0.570205,6.151642
1781573368.234056,5360.206543,5142.652344,55.813904,0.898981,-0.183453,-2.202698,6.152500
1781573368.334187,5360.287598,5142.628418,55.481567,0.774746,-0.158100,-4.225930,6.153392
1781573368.434036,5360.361328,5142.604004,54.966328,0.665676,-0.135843,-5.534334,6.154323
1781573368.533761,5360.426270,5142.585938,54.379559,0.573662,-0.117066,-5.907576,6.155238
1781573368.634083,5360.475586,5142.582031,53.784279,0.493630,-0.100734,-5.615077,6.156159
1781573368.733786,5360.524414,5142.581055,53.233509,0.424774,-0.086682,-5.034027,6.157066
1781573368.833827,5360.572266,5142.581055,52.731987,0.365523,-0.074591,-4.684555,6.157945
1781573368.934184,5360.597656,5142.581055,52.253613,0.314536,-0.064187,-4.586391,6.158789
1781573369.034230,5360.623535,5142.581055,51.772491,0.270255,-0.055150,-4.642999,6.159599
1781573369.133820,5360.646973,5142.581055,51.292179,0.233258,-0.047600,-5.116853,6.160342
1781573369.233932,5360.670898,5142.581055,50.764668,0.200420,-0.040899,-5.275873,6.161059
1781573369.334023,5360.692871,5142.581055,50.240688,0.172459,-0.035193,-5.246206,6.161718
1781573369.433762,5360.714844,5142.581055,49.728958,0.148399,-0.030283,-5.004884,6.162327
1781573369.534103,5360.803711,5142.539062,49.516949,1.268071,-0.690089,-2.106629,6.163932
1781573369.634003,5360.849121,5142.517090,49.437389,0.044467,0.038025,-1.991912,6.164779
1781573369.734165,5360.849121,5142.517090,49.406361,0.019860,0.054365,-2.401889,6.165159
1781573369.833960,5360.860840,5142.513672,49.374294,0.853418,-0.302365,-0.086968,6.166010
1781573369.933754,5360.880371,5142.508301,49.385876,0.643879,-0.083547,0.405683,6.166682
1781573370.033897,5360.891113,5142.506836,49.397480,0.759899,-0.085678,1.084424,6.166925
1781573370.133968,5360.897461,5142.506348,49.405476,0.722202,-0.066431,0.864823,6.167028
1781573370.234174,5360.907715,5142.506348,49.417393,0.523900,0.023823,0.618193,6.167168
1781573370.334236,5360.916504,5142.506348,49.427067,0.420400,0.123568,0.419354,6.167235
1781573370.433973,5360.923828,5142.510254,49.431828,0.211322,0.217467,0.016716,6.167195
1781573370.534117,5360.928223,5142.516113,49.428913,0.087158,0.329567,-0.288955,6.166999
1781573370.633821,5360.928223,5142.523926,49.421337,-0.069557,0.423415,-0.514970,6.166688
1781573370.734103,5360.928223,5142.534180,49.415134,-0.104524,0.320664,-0.025701,6.166082
1781573370.834113,5360.925293,5142.539551,49.414169,-0.222013,0.292393,-0.208326,6.165756
1781573370.933811,5360.920410,5142.545410,49.408569,-0.278898,0.235187,-0.426941,6.165433
1781573371.033808,5360.913086,5142.550293,49.397591,-0.405488,0.201915,-0.654573,6.165169
1781573371.133811,5360.903809,5142.554688,49.385342,-0.536332,0.167548,-0.636750,6.165004
1781573371.233876,5360.895508,5142.556641,49.376202,-0.321297,0.058100,-0.097944,6.164851
1781573371.334125,5360.895020,5142.556641,49.386631,-0.023814,-0.054696,0.347775,6.164845
1781573371.434204,5360.895020,5142.556641,49.386631,-0.020769,-0.055257,0.326248,6.164845
1781573371.533970,5360.895020,5142.556641,49.386631,-0.021976,-0.055754,0.311625,6.164845
1781573371.633936,5360.895020,5142.556641,49.386631,-0.025448,-0.058554,0.293742,6.164845
1781573371.734013,5360.895020,5142.556641,49.386631,-0.024622,-0.056975,0.280744,6.164845
1781573371.834199,5360.895020,5142.556641,49.386631,-0.028647,-0.060371,0.264359,6.164845
1781573371.933865,5360.895020,5142.556641,49.386631,-0.029974,-0.061178,0.248827,6.164845
1781573372.034240,5360.895020,5142.556641,49.386631,-0.030957,-0.060624,0.234114,6.164845
1781573372.133951,5360.895020,5142.555176,49.387489,-0.018038,-0.320229,0.019613,6.164880
1781573372.234243,5360.909180,5142.530273,49.370281,0.678840,-0.674977,-0.782215,6.165292
1781573372.334010,5360.959473,5142.487793,49.307461,0.902689,0.140770,-1.031182,6.166054
