entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
10003080	guFogGenerateLinear	guFogGenerateLinear	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10003080-10003117	__stdcall guFogGenerateLinear,12	\N	undefined __stdcall guFogGenerateLinear(int param_1)
10003120	guTexCreateColorMipMap	guTexCreateColorMipMap	Global	ANALYSIS	ANALYSIS	__stdcall	undefined4 *	0	false	\N	false	10003120-1000320f	__stdcall guTexCreateColorMipMap,0	\N	undefined4 * __stdcall guTexCreateColorMipMap(void)
10003210	FUN_10003210	FUN_10003210	Global	DEFAULT	ANALYSIS	__cdecl	undefined	4	false	\N	false	10003210-10003254	\N	\N	undefined __cdecl FUN_10003210(undefined4 * param_1, undefined2 param_2, uint param_3, int param_4)
10003260	guEncodeRLE16	guEncodeRLE16	Global	ANALYSIS	ANALYSIS	__stdcall	int	4	false	\N	false	10003260-10003338	__stdcall guEncodeRLE16,16	\N	int __stdcall guEncodeRLE16(uint * param_1, ushort * param_2, int param_3, int param_4)
10003340	guDrawTriangleWithClip	guDrawTriangleWithClip	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10003340-100035a5	__stdcall guDrawTriangleWithClip,12	\N	undefined __stdcall guDrawTriangleWithClip(float * param_1, float * param_2, float * param_3)
10003610	FUN_10003610	FUN_10003610	Global	DEFAULT	ANALYSIS	__cdecl	undefined	4	false	\N	false	10003610-1000371f	\N	\N	undefined __cdecl FUN_10003610(int param_1, int param_2, int param_3, float param_4)
100038c0	FUN_100038c0	FUN_100038c0	Global	DEFAULT	ANALYSIS	__cdecl	undefined	6	false	\N	false	100038c0-10003a20	\N	\N	undefined __cdecl FUN_100038c0(undefined4 * param_1, int param_2, int param_3, int * param_4, undefined * param_5, undefined * param_6)
10003a30	guAADrawTriangleWithClip	guAADrawTriangleWithClip	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10003a30-10003cb8	__stdcall guAADrawTriangleWithClip,12	\N	undefined __stdcall guAADrawTriangleWithClip(float * param_1, float * param_2, float * param_3)
10003cc0	guDrawPolygonVertexListWithClip	guDrawPolygonVertexListWithClip	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	10003cc0-10003dd5	__stdcall guDrawPolygonVertexListWithClip,8	\N	undefined __stdcall guDrawPolygonVertexListWithClip(void)
10003de0	FUN_10003de0	FUN_10003de0	Global	DEFAULT	ANALYSIS	__stdcall	undefined4	0	false	\N	false	10003de0-10003f32	\N	\N	undefined4 __stdcall FUN_10003de0(void)
10003f40	FUN_10003f40	FUN_10003f40	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	10003f40-10003f4d	\N	\N	undefined __stdcall FUN_10003f40(void)
10003f4e	FUN_10003f4e	FUN_10003f4e	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	10003f4e-1000418e	\N	\N	undefined __stdcall FUN_10003f4e(void)
10004190	FUN_10004190	FUN_10004190	Global	DEFAULT	ANALYSIS	__cdecl	int	2	false	\N	false	10004190-100041a0	\N	\N	int __cdecl FUN_10004190(int param_1, int param_2)
100041b0	guMPInit	guMPInit	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	100041b0-100041cc	__stdcall guMPInit,0	\N	undefined __stdcall guMPInit(void)
100041d0	guMPTexCombineFunction	guMPTexCombineFunction	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	100041d0-100041db	__stdcall guMPTexCombineFunction,4	\N	undefined __stdcall guMPTexCombineFunction(undefined4 param_1)
100041e0	guMPTexSource	guMPTexSource	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	100041e0-100041f1	__stdcall guMPTexSource,8	\N	undefined __stdcall guMPTexSource(int param_1, undefined4 param_2)
10004200	FUN_10004200	FUN_10004200	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	10004200-100042e6	\N	\N	undefined __stdcall FUN_10004200(void)
10004360	FUN_10004360	FUN_10004360	Global	DEFAULT	ANALYSIS	__cdecl	undefined	1	false	\N	false	10004360-100043f2	\N	\N	undefined __cdecl FUN_10004360(uint * param_1)
10004400	grGlideGetVersion	grGlideGetVersion	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10004400-1000442c	__stdcall grGlideGetVersion,4	\N	undefined __stdcall grGlideGetVersion(char * param_1)
10004430	grGlideGetState	grGlideGetState	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10004430-1000444d	__stdcall grGlideGetState,4	\N	undefined __stdcall grGlideGetState(undefined4 * param_1)
