name	start	end	size	read	write	execute	initialized	loaded	overlay	type	source	comment
Headers	10000000	100003ff	1024	true	false	false	true	true	false	Default	\N	\N
.text	10001000	10028bff	162816	true	false	true	true	true	false	Default	\N	\N
.rdata	10029000	1002abff	7168	true	false	false	true	true	false	Default	\N	\N
.data	1002b000	10136c73	1096820	true	true	false	true	true	false	Default	\N	\N
.idata	10137000	101377ff	2048	true	true	false	true	true	false	Default	\N	\N
.rsrc	10138000	101385ff	1536	true	false	false	true	true	false	Default	\N	\N
.reloc	10139000	1013bfff	12288	true	false	false	true	true	false	Default	\N	\N
