library	label	original_imported_name	parent	address	external_space_address	is_function	source	data_type
ADVAPI32.DLL	RegCloseKey	\N	ADVAPI32.DLL	0009357a	EXTERNAL:00000003	true	IMPORTED	null
KERNEL32.DLL	GetProcAddress	\N	KERNEL32.DLL	0009356a	EXTERNAL:00000002	true	IMPORTED	null
KERNEL32.DLL	LoadLibraryA	\N	KERNEL32.DLL	0009355c	EXTERNAL:00000001	true	IMPORTED	null
MSACM32.DLL	acmStreamOpen	\N	MSACM32.DLL	00093588	EXTERNAL:00000004	true	IMPORTED	null
MSVCRT.DLL	abs	\N	MSVCRT.DLL	00093598	EXTERNAL:00000005	true	IMPORTED	null
OLE32.DLL	CoInitialize	\N	OLE32.DLL	0009359e	EXTERNAL:00000006	true	IMPORTED	null
USER32.DLL	ShowWindow	\N	USER32.DLL	000935ac	EXTERNAL:00000007	true	IMPORTED	null
WINMM.DLL	mixerOpen	\N	WINMM.DLL	000935b8	EXTERNAL:00000008	true	IMPORTED	null
WSOCK32.DLL	inet_ntoa	Ordinal_11	WSOCK32.DLL	8000000b	EXTERNAL:00000009	true	IMPORTED	null
