library	path
ADVAPI32.DLL	\N
KERNEL32.DLL	\N
MSACM32.DLL	\N
MSVCRT.DLL	\N
OLE32.DLL	\N
USER32.DLL	\N
WINMM.DLL	\N
WSOCK32.DLL	\N
