name	start	end	size	read	write	execute	initialized	loaded	overlay	type	source	comment
Headers	10000000	10000fff	4096	true	false	false	true	true	false	Default	\N	\N
.text	10001000	10010fff	65536	true	false	true	true	true	false	Default	\N	\N
.rdata	10011000	10012fff	8192	true	false	false	true	true	false	Default	\N	\N
.data	10013000	10019fdb	28636	true	true	false	true	true	false	Default	\N	\N
.reloc	1001a000	1001bfff	8192	true	false	false	true	true	false	Default	\N	\N
tdb	ffdff000	ffdfffff	4096	true	true	false	true	true	false	Default	\N	\N
